date,QV2M
2000-01-01,6.765604395604395
2000-04-01,11.030879120879122
2000-07-01,12.614782608695652
2000-10-01,6.1499999999999995
2001-01-01,6.081444444444445
2001-04-01,12.42010989010989
2001-07-01,14.615543478260872
2001-10-01,7.173913043478261
2002-01-01,6.353777777777778
2002-04-01,11.941648351648352
2002-07-01,15.165652173913044
2002-10-01,8.349021739130436
2003-01-01,6.298444444444445
2003-04-01,13.300219780219779
2003-07-01,15.857826086956523
2003-10-01,7.404021739130434
2004-01-01,6.308901098901099
2004-04-01,12.37923076923077
2004-07-01,14.326195652173913
2004-10-01,8.567608695652174
2005-01-01,6.857
2005-04-01,11.99978021978022
2005-07-01,16.27858695652174
2005-10-01,7.092173913043479
2006-01-01,6.530555555555556
2006-04-01,11.78098901098901
2006-07-01,14.32728260869565
2006-10-01,7.244673913043478
2007-01-01,6.49
2007-04-01,10.112527472527473
2007-07-01,14.400434782608695
2007-10-01,7.676086956521738
2008-01-01,6.08021978021978
2008-04-01,12.175934065934065
2008-07-01,14.75967391304348
2008-10-01,7.229456521739131
2009-01-01,6.562888888888889
2009-04-01,13.217692307692307
2009-07-01,15.751847826086957
2009-10-01,7.816630434782609
2010-01-01,5.112444444444445
2010-04-01,13.56131868131868
2010-07-01,15.680869565217392
2010-10-01,6.463260869565217
2011-01-01,6.341444444444445
2011-04-01,12.245054945054944
2011-07-01,14.89554347826087
2011-10-01,7.065
2012-01-01,8.107692307692307
2012-04-01,12.228901098901098
2012-07-01,15.025434782608695
2012-10-01,7.202608695652174
2013-01-01,6.2893333333333326
2013-04-01,12.562857142857142
2013-07-01,15.76086956521739
2013-10-01,7.540326086956522
2014-01-01,5.503111111111111
2014-04-01,13.143076923076922
2014-07-01,15.037065217391305
2014-10-01,7.3293478260869565
2015-01-01,6.162111111111112
2015-04-01,13.536483516483516
2015-07-01,15.433152173913042
2015-10-01,9.323695652173912
2016-01-01,6.6849450549450555
2016-04-01,12.554615384615385
2016-07-01,15.872065217391304
2016-10-01,7.023804347826086
2017-01-01,7.939555555555555
2017-04-01,12.967362637362637
2017-07-01,15.408586956521738
2017-10-01,7.989782608695651
2018-01-01,6.901666666666666
2018-04-01,12.84967032967033
2018-07-01,16.30336956521739
2018-10-01,8.07641304347826
2019-01-01,7.100333333333333
2019-04-01,13.199120879120878
2019-07-01,14.961413043478261
2019-10-01,7.953043478260869
2020-01-01,8.166263736263737
2020-04-01,12.07956043956044
2020-07-01,15.30054347826087
2020-10-01,8.125869565217391
